category,performer,l1,l2,linf,max_score,count,prob_num,ranking,best,l1_zscore,l2_zscore,linf_zscore,max_score_zscore,count_zscore,best_string
binary_classification,cmu,3103.0,309.93289210551916,45.0,6.054614418164893,171,668,26.0,3.0,-0.2208251357940178,0.09864396958569902,-3.0293815415081387,4.515539417311114,3.6963921337340437,***
binary_classification,isi,4242.0,358.0230365213612,58.0,5.711763280282923,125,627,40.0,0.0,2.9733037016733874,2.3259911437356777,0.8748736078010522,-0.7582059168061152,-3.897231202922522,
binary_classification,mit,1578.0,326.89327010882795,114.0,6.23570647063073,72,675,50.0,1.0,-6.803194372682152,-0.7578375215703061,9.778567046422245,-6.026719235676529,-15.365331267514282,*
binary_classification,nyu,4686.0,387.1496548979395,51.0,6.554868552302068,195,718,37.0,2.0,5.196424872382382,2.4320801450485607,-2.5068105928714504,0.9148742318328672,5.4193999973022144,**
binary_classification,nyu_2,4083.0,354.1495689330036,53.0,6.679615081280671,182,718,33.0,2.0,2.453168197625372,0.4167255018446348,-2.198068542175939,2.8268701230965654,3.2513588679469576,**
binary_classification,sri,241.0,31.493729285775178,5.0,3.6808385496556206,133,514,33.0,1.0,-6.1525561223484155,-6.8531458141304045,-7.314891746167803,-4.199105771787576,4.985845166199332,*
binary_classification,tamu,1940.0,149.84328689310667,12.0,6.68605731830476,218,734,49.0,2.0,-6.505621433186637,-9.534032582416826,-13.70194577578461,-3.3198672913948446,7.0536755554345945,**
binary_classification,ucb,7660.0,785.9358219356377,155.0,7.088123336343255,162,734,31.0,2.0,12.037111744465845,15.13335840263419,16.651285086646432,5.352118859513227,-0.8905223218123108,**
binary_classification,uncharted,21.0,21.0,21.0,1.1639244363193177,6,82,10.0,1.0,-2.9778114521357644,-3.2617832447312316,1.4463724576382142,0.6944955839112099,-4.2535869283680245,*
collaborative_filtering,cmu,4.0,4.0,4.0,-3.086095132981141,2,26,1.0,1.0,-0.8212221870686491,-1.1550426524795872,-0.6083303292403596,1.2207898760948759,-0.8392044441238016,*
collaborative_filtering,isi,1.0,1.0,1.0,-4.347893962254485,2,26,7.0,0.0,-0.8485962599709375,-1.4375088912108376,-1.4599927901768628,-1.1895758755293153,-0.8392044441238016,
collaborative_filtering,mit,43.0,19.1049731745428,10.0,-4.126975746791416,4,26,6.0,0.0,-0.4653592393389012,0.26717233377025956,1.094994592632647,-0.7675643090985775,-0.47205249981963837,
collaborative_filtering,nyu,298.0,29.899832775452108,5.0,-4.123555053477558,16,26,5.0,0.0,1.8614369573556049,1.2835667968038527,-0.32444284226152514,-0.7610298902837481,1.730859166005341,
collaborative_filtering,nyu_2,222.0,25.019992006393608,4.0,-4.090765953935084,14,26,4.0,0.0,1.1679604438309676,0.8241033742560637,-0.6083303292403596,-0.6983941350982005,1.3637072217011776,
collaborative_filtering,tamu,14.0,9.273618495495704,7.0,-3.088722650886839,3,26,2.0,0.0,-0.7299752773943549,-0.658502925504178,0.24333213169614368,1.2157706297421744,-0.65562847197172,
collaborative_filtering,ucb,76.0,25.573423705088842,12.0,-3.2121439326837433,5,26,3.0,0.0,-0.16424443741372982,0.8762119643644269,1.6627695665903157,0.9800037041727964,-0.28847652766755677,
community_detection,isi,28.0,19.79898987322333,14.0,1.572698697356965,6,57,2.0,2.0,-1.2918774541381368,-1.4283606006966876,-0.4647485851002612,1.0976371258325475,-2.1832794923593752,**
community_detection,mit,82.0,30.9498743710662,15.0,1.4282000842025444,9,57,5.0,0.0,-1.1362015597250879,-1.0124758966162841,-0.19561180269050724,-1.8819237969752625,-1.6002022988068119,
community_detection,nyu,376.0,69.88392731731331,20.0,1.572698697356965,20,57,2.0,2.0,-0.12540759217494465,0.5192305740623596,1.0964401235734098,1.0976371258325475,0.6133013540221545,**
community_detection,nyu_2,80.0,23.916521486202797,10.0,0.8503255421121115,6,28,1.0,1.0,-0.44128248339600834,-0.25212009499786997,0.49341743441788244,0.5394763829289867,-0.61547037097215,*
community_detection,tamu,76.0,11.998774182051502,2.0,1.3117752610214448,18,57,5.0,0.0,-1.1477515148096682,-1.7360590103459193,-3.587126002447603,-1.950463963451378,0.1922029636430118,
community_detection,ucb,1701.0,157.80472302385544,26.0,1.572698697356965,35,57,2.0,2.0,4.142520604243845,3.9097850285944,2.657628832247081,1.0976371258325475,3.5934478444731717,**
graph_matching,cmu,4.0,4.0,4.0,1.7171027920370603,4,66,2.0,2.0,-1.9167431227403389,-2.801143971347577,-4.251528068209898,1.5217672728774048,-2.2700893048861293,**
graph_matching,isi,62.0,28.35489375751565,14.0,1.7171027920370603,8,66,2.0,2.0,-1.6065581654631365,-1.5375568477919743,-0.7519109484441524,1.5217672728774048,-1.6283225417382376,**
graph_matching,mit,145.0,40.53720459187964,14.0,1.4955284480137365,13,66,4.0,1.0,-1.2184591072964137,-0.9821008544518504,-0.7240090295232505,-1.5117516345786899,-0.801961346627885,*
graph_matching,nyu,202.0,50.34562396670662,20.0,1.67153320574505,13,66,4.0,0.0,-0.5619258534437844,-0.23372985066486335,1.3478593234152947,-1.0178500613511443,-0.7053503819259304,
graph_matching,nyu_2,526.0,73.62929131817847,20.0,1.67153320574505,21,66,4.0,0.0,-0.007957527667549924,0.511596627960068,1.3478593234152947,-1.0178500613511443,0.24004476791301116,
graph_matching,tamu,722.0,91.01648202386203,20.0,1.67153320574505,40,66,4.0,0.0,1.9231327276912378,1.7134684641318167,1.3478593234152947,-1.0178500613511443,3.505811563444893,
graph_matching,ucb,1323.0,129.42730517004793,21.0,1.7171027920370603,30,66,2.0,2.0,3.3885110489199857,3.3294664321643817,1.6838700759314182,1.5217672728774048,1.659867243820278,**
link_prediction,cmu,138.0,50.42969733441915,21.0,1.7428668908491303,14,104,7.0,0.0,-2.1938716063824866,-1.3443413935167305,0.7352936097966336,0.2549198221074528,-3.7007705915876663,
link_prediction,isi,0.0,0.0,0.0,1.4213812143889955,60,104,12.0,0.0,-2.651735907456171,-3.443343887128382,-4.191977367465312,-3.5632524409305883,2.54411879874339,
link_prediction,mit,164.0,55.028911117155815,24.0,1.7570771741669953,15,104,6.0,2.0,-2.1183832841053256,-1.2216939159727758,1.2522011004859794,2.2999805676263305,-3.575447280980825,**
link_prediction,nyu,1178.0,114.81515191369095,23.0,1.4012294768832865,42,104,10.0,0.0,1.30101820226865,1.2504090551549587,0.8084710045261926,-1.9986254821590892,0.24061066274292853,
link_prediction,nyu_2,1165.0,117.59656976798269,23.0,1.4126273246855434,49,104,11.0,1.0,1.1985125875200382,1.2767822437132106,0.7706869473548433,-0.004448703937149245,1.1364193822986635,*
link_prediction,tamu,741.0,73.07633851611146,12.0,1.7572509921474397,60,104,5.0,2.0,-0.23662986732574542,-0.5638082100054412,-1.7357696929444852,2.3011334313565524,2.54411879874339,**
link_prediction,ucb,2573.0,213.38672901930335,34.0,1.7548659797567534,59,104,5.0,1.0,5.759382776168851,5.3916702466385535,3.771122649392461,0.34690112448376975,2.3947424388216785,*
link_prediction,uncharted,2.0,2.0,2.0,0.9401584042241128,2,25,3.0,0.0,-1.0582929006878112,-1.3456741388833953,-1.410028251146314,0.36339168145269635,-1.5837922087815604,
multiclass_classification,cmu,4382.0,461.7711780214686,69.0,12.203850088411263,278,473,46.0,7.0,-4.447734312253447,-5.7432675094536805,-11.678748884615741,9.233661284494978,3.038852110646924,*******
multiclass_classification,isi,14256.0,1264.5860010354213,179.0,12.63488908462262,302,487,62.0,3.0,22.580121829228116,21.407656020620863,13.808104134630378,3.7255458625785005,10.09083512235443,***
multiclass_classification,mit,4546.0,757.9787377609364,228.0,11.182482122365752,194,708,101.0,3.0,-3.2868109593919903,4.595798143763317,15.653072783243024,-9.170996095795518,-19.721733203170235,***
multiclass_classification,nyu,7043.0,671.9083979051007,127.0,12.697537374815845,292,708,89.0,5.0,-0.06136707450760359,-1.9281141319376949,-5.417296655776036,-4.523453101942427,2.362823245002189,*****
multiclass_classification,nyu_2,6223.0,613.9289751059006,118.0,13.762670643540734,264,708,77.0,6.0,-4.235745560327014,-6.836033559618922,-7.61004087801459,5.7202347673554845,-2.5973121054371804,******
multiclass_classification,sri,1349.0,134.5906345490604,19.0,4.359090179714728,188,271,35.0,3.0,-4.164839427334631,-7.656891726321201,-9.751520016280544,-0.6604798005355779,7.04174724340962,***
multiclass_classification,tamu,2523.0,201.56795863069948,21.0,12.80939304287045,296,503,88.0,2.0,-15.433796269917035,-20.48646157894732,-27.086710191957724,-4.993302540071347,3.9324146995100198,**
multiclass_classification,ucb,12542.0,1374.8945807697055,306.0,11.885601010424825,278,698,71.0,4.0,11.928427584783485,20.359857291750647,33.23207448149314,0.9106589920849324,-0.4279868073733011,****
multiclass_classification,uncharted,15.0,15.0,15.0,1.848914714198158,6,195,13.0,0.0,-2.8782558102798754,-3.7125429498560116,-1.1489347727219177,-0.2418693681690308,-3.7196403049424616,
multivariate_regression,cmu,29.0,8.358430082875012,3.0,-55.0010215729733,11,193,6.0,0.0,-1.618683642672731,-1.9378875438148904,-2.6064138583700815,-1.340241078230716,-2.0919507156073047,
multivariate_regression,isi,24.0,11.045361017187261,6.0,-0.8885752079540816,4,93,2.0,0.0,-0.613633661602689,-0.6000143809222231,-0.19069251784911856,-0.7071067811865475,-0.8583950752789521,
